Month,2018,2019,2020,2021,2022
January,95.1,94.3,96.9,100.3,107.2
February,96.7,96.3,97.4,108.4,107.9
March,95.1,98.4,99.2,106.2,97.0
April,95.4,102.1,105.3,104.6,93.7
May,100.7,102.4,99.2,101.6,
June,101.6,99.0,103.6,98.6,
July,101.6,100.4,106.5,96.4,
August,101.7,103.1,105.8,94.3,
September,101.7,103.0,105.6,101.7,
October,98.0,99.3,102.1,99.5,
November,99.5,102.6,107.4,106.7,
December,103.7,107.6,109.8,117.0,
