Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,59.7,74.2,66.1,74.6,79,83.6,84.1,83.9,85.8,80,70.7,65.4
2019,61,70.9,69.1,74.7,81.6,83.8,83.1,84.6,84,81.1,69.1,67.6
2020,65.3,66.7,74.3,75.4,78.9,84,85.5,84.8,82.9,81.5,74.6,61.2
2021,61.7,67.3,70.9,73.9,81.1,83.8,85,85,83.1,80.4,68.4,71.5
