Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018,9.512829153,9.672565945,9.506558401,9.538395168,10.07496784,10.16403729,10.15980276,10.16740088,10.17422096,9.795020634,9.949040492,10.36885443
2019,9.434717143,9.627595675,9.835330596,10.21397628,10.24130589,9.900190939,10.04105235,10.30719224,10.30160669,9.929341592,10.2589824,10.75666335
2020,9.689325036,9.742738988,9.918953505,10.53252913,9.923839281,10.3560486,10.65418478,10.58459179,10.5610438,10.20781328,10.74022829,10.97652723
2021,10.03259452,10.83831838,10.62193265,10.45592977,10.16315977,9.863445378,9.635877735,9.43011257,10.17315659,9.946536866,10.66911173,11.70001059
